id,name
273,Оплетка проводов
274,Разъемы для питания видеокарты (PCI-E)
275,Ток по линии +5 В
276,Корректор коэффициента мощности (PFC)
277,Размеры вентиляторов
278,Регулировка оборотов
279,Количество разъемов 4-pin Molex
280,Ток по линии -12 В
281,Разъемы для питания процессора (CPU)
282,Ток по линии +3.3 В
283,Цвета проводов
284,Ток по линии +12 В
285,Переключатель режима работы вентилятора (Hybrid mode)
286,Технологии защиты
287,Сертификат 80 PLUS
288,Разъем 4 pin Floppy
289,Отстегивающиеся кабели
290,Количество разъемов 15-pin SATA
291,Система охлаждения
292,Соответствие стандартам
293,Сетевой кабель в комплекте
294,Длина кабеля питания процессора
295,Длина основного кабеля питания
296,Длина кабеля питания SATA
297,Длина кабеля питания Molex
298,Длина кабеля питания PCI-E
299,Максимальная скорость вращения
300,Разъем для подключения вентиляторов
301,Номинальный ток
302,Количество вентиляторов в комплекте
303,Максимальный воздушный поток
304,Максимальное статическое давление
305,Дополнительная информация
306,Максимальное число устанавливаемых вентиляторов
307,Термопаста в комплекте
308,Цвет вентилятора
309,Материал радиатора
310,Регулировка скорости вращения
311,Диаметр тепловых трубок
312,Размеры комплектных вентиляторов
313,Минимальная скорость вращения
314,Тип подшипника
315,Никелированное покрытие
316,Номинальное напряжение
317,Тип конструкции
318,Количество тепловых трубок
319,Рассеиваемая мощность
320,Материал основания
321,Тип разъема питания подсветки
322,Ключ M.2 разъема
323,Максимальная скорость последовательного чтения
324,NVMe
325,Количество бит на ячейку
326,DWPD
327,Радиатор в комплекте
328,Структура памяти
329,Объем накопителя
330,Физический интерфейс
331,Толщина
332,DRAM буфер
333,Максимальная скорость последовательной записи
334,Энергопотребление
335,Контроллер
336,Максимальный ресурс записи (TBW)
337,Запись случайных блоков 4 Кбайт (QD32)
338,Чтение случайных блоков 4 Кбайт (QD32)
