id,value
297,[ZT-A30500R-10L]
298,ZOTAC GeForce RTX 3050 ECO SOLO
299,[ZT-A30500K-10M]
300,223 мм
301,ZOTAC GeForce RTX 3050 ECO
302,[11310-01-20G]
303,Sapphire AMD Radeon RX 6600 PULSE
304,193 мм
305,140 Вт
306,[RX 7600 8G-F]
307,Radeon RX 7600
308,2655 МГц
309,4096x2160
310,2048
311,128
312,288 Гбайт/сек
313,AMD RDNA 3
314,"Infinity Cache - 32 Мб, размер со скобой 212x129x39 мм"
315,1720 МГц
316,PowerColor AMD Radeon RX 7600 Fighter
317,12 ГБ
318,[N30602-12D6-119032AH]
319,15000 МГц
320,GeForce RTX 3060
321,3584
322,192 бит
323,360 Гбайт/сек
324,1320 МГц
325,INNO3D GeForce RTX 3060 TWIN X2 (LHR)
326,40.3 мм
327,[RX7600 CL 8GO]
328,2695 МГц
329,1770 МГц
330,ASRock AMD Radeon RX 7600 Challenger OC
331,44.1 мм
332,[11324-01-20G]
333,2755 МГц
334,Sapphire AMD Radeon RX 7600 PULSE GAMING OC
335,185 Вт
336,1875 МГц
337,48
338,[36NOL7MD1VOK]
339,626 г
340,KFA2 GeForce RTX 3060 CORE (LHR)
341,245 мм
342,размер со скобой 258x126x41.5 мм
343,[DUAL-RTX3050-8G-V2]
344,ASUS GeForce RTX 3050 Dual V2
345,50 мм
346,2.5
347,[36NOL7MD2NEK]
348,1822 МГц
349,124 мм
350,KFA2 Xtreme Tuner
351,858 г
352,KFA2 GeForce RTX 3060 X Black (LHR)
353,285 мм
354,размер со скобой 299x139x50 мм
355,[NE63060T19K9-190AD]
356,Россия
357,119 мм
358,580 г
359,Palit GeForce RTX 3060 Dual OC (LHR)
360,180 Вт
361,[RX7600 8G-L/OC]
362,600 Вт
363,"Infinity Cache - 32 Мб, переключение подсветки, размер со скобой 234x149x45 мм"
364,Powercolor AMD Radeon RX 7600 Hellhound
365,[GV-N3060GAMING OC-8GD 2.0]
366,198 мм
367,240 Гбайт/сек
368,121 мм
369,L2 кэш - 3 Мб
370,GIGABYTE GeForce RTX 3060 GAMING OC (rev. 2.0)
371,PCIe 5.0
372,"DDR4-3200, DDR5-4800"
373,0 ГГц
374,[CM8071504651013-SRL63]
375,128 ГБ
376,Intel Alder Lake-S
377,100 °C
378,Малайзия
379,4.3 ГГц
380,20 шт
381,3.3 ГГц
382,LGA 1700
383,58 Вт
384,Intel 7
385,"DDR4, DDR5"
386,89 Вт
387,12 мес.
388,5 МБ
389,12 МБ
390,поддержка Intel Optane
391,2022
392,Intel Core i3-12100F
393,PCIe 3.0
394,1250 МГц
395,DDR4-2933
396,[YD3200C5M4MFH]
397,64 ГБ
398,AMD Picasso
399,95 °C
400,512
401,4 ГГц
402,3.6 ГГц
403,AM4
404,65 Вт
405,GlobalFoundries 12LP
406,DDR4
407,2 МБ
408,4 МБ
409,AMD Radeon Vega 8
410,2019
411,AMD Ryzen 3 3200G
412,DDR4-3200
413,[100-000000158]
414,AMD Matisse
415,6
416,4.1 ГГц
417,TSMC 7nm FinFET
418,3 МБ
419,32 МБ
420,AMD Ryzen 5 3500X
421,[100-000000050]
422,16 МБ
423,AMD Ryzen 5 3500
424,[CM8071505092203-SRMBV]
425,192 ГБ
426,Intel Raptor Lake-S
427,Вьетнам
428,4.5 ГГц
429,3.4 ГГц
430,2023
431,Intel Core i3-13100F
432,[100-000000644]
433,AMD Renoir
434,12
435,8 МБ
436,поддержка VR-Ready
437,AMD Ryzen 5 4500
438,[100-000000457]
439,AMD Cezanne
440,90 °C
441,4.2 ГГц
442,AMD Ryzen 5 5500
443,1400 МГц
444,[YD3400C5M4MFH]
445,11
446,704
447,16 шт
448,3.7 ГГц
449,12 нм
450,AMD Radeon Vega 11
451,AMD Ryzen 5 3400G
452,[100-000000031]
453,AMD Ryzen 5 3600
454,[100-100000644CBX]
455,нанесен на основание радиатора
456,[BX8071512100F]
457,Intel Raptor Lake-R
458,4.7 ГГц
459,3.5 ГГц
460,110 Вт
461,технология Intel GNA
462,2024
463,Intel Core i3-14100F
464,[YD3200C5FHBOX]
465,[100-100000510BOX]
466,3.8 ГГц
467,AMD Ryzen 3 4100
468,[100-100000457CBX]
469,[100-000000927]
470,AMD Vermeer
471,4.4 ГГц
472,AMD Ryzen 5 5600
473,[100-100000031BOX]
474,[100-000000022]
475,95 Вт
476,AMD Ryzen 5 3600X
477,[BX8071513100F]
478,[100-000000065]
479,4.6 ГГц
480,2020
481,AMD Ryzen 5 5600X
